customer_id,kmeans_cluster
5499,1.0
40168,5.0
13803,9.0
15858,0.0
26159,0.0
44390,6.0
30626,0.0
13597,8.0
28137,4.0
20894,4.0
1350,9.0
20116,7.0
48048,5.0
24173,1.0
5715,4.0
48086,9.0
17715,8.0
12267,7.0
1224,4.0
27752,4.0
48406,4.0
33738,1.0
12610,6.0
27379,4.0
6228,4.0
20600,0.0
6485,0.0
1528,9.0
11791,8.0
25752,8.0
11560,0.0
30102,4.0
33938,7.0
29451,2.0
45413,7.0
32109,0.0
26394,4.0
24795,4.0
15351,0.0
30168,0.0
23964,8.0
47710,4.0
47418,4.0
35873,0.0
27189,4.0
8190,6.0
46991,5.0
2816,1.0
31645,7.0
29739,0.0
21819,9.0
17669,0.0
49303,8.0
37229,8.0
25940,5.0
20125,6.0
32785,1.0
31838,9.0
23998,7.0
47644,9.0
23301,6.0
40807,4.0
33205,1.0
46793,0.0
12182,8.0
48607,1.0
46748,7.0
15560,0.0
18464,0.0
33179,8.0
30444,0.0
16031,4.0
21329,1.0
31104,0.0
27702,6.0
48360,0.0
43287,1.0
15298,9.0
21318,6.0
15483,0.0
4234,4.0
44210,4.0
8019,0.0
6229,1.0
34796,9.0
11679,9.0
48060,0.0
46913,7.0
3433,8.0
14772,5.0
8988,1.0
40712,9.0
35711,4.0
7922,5.0
28475,0.0
45129,0.0
5753,1.0
32976,0.0
47139,6.0
26282,0.0
39798,4.0
47342,9.0
30275,4.0
34001,2.0
46299,4.0
4876,7.0
12777,1.0
33438,0.0
35747,4.0
13288,0.0
3053,8.0
24648,4.0
36914,9.0
22964,4.0
4072,8.0
23102,9.0
44387,4.0
32484,5.0
13793,0.0
42903,6.0
28454,8.0
19201,0.0
1615,1.0
32428,5.0
8834,8.0
5326,7.0
42118,0.0
41144,5.0
7302,1.0
34453,4.0
44902,8.0
47157,4.0
30006,4.0
40592,0.0
29713,9.0
23287,5.0
26980,4.0
23838,4.0
38010,4.0
9072,4.0
35548,9.0
4093,0.0
46609,4.0
13823,4.0
30107,1.0
5054,8.0
4669,1.0
44021,0.0
4351,1.0
